emoji,unicode,category,unicodename
🤌🏻,\U0001f90c\U0001f3fb,emojis & people,---
🤌🏼,\U0001f90c\U0001f3fc,emojis & people,---
🤌🏽,\U0001f90c\U0001f3fd,emojis & people,---
🤌🏾,\U0001f90c\U0001f3fe,emojis & people,---
🤌🏿,\U0001f90c\U0001f3ff,emojis & people,---
🤏,\U0001f90f,emojis & people,PINCHING HAND
🤏🏻,\U0001f90f\U0001f3fb,emojis & people,---
🤏🏼,\U0001f90f\U0001f3fc,emojis & people,---
🤏🏽,\U0001f90f\U0001f3fd,emojis & people,---
🤏🏾,\U0001f90f\U0001f3fe,emojis & people,---
🤏🏿,\U0001f90f\U0001f3ff,emojis & people,---
🫳,\U0001faf3,emojis & people,---
🫳🏻,\U0001faf3\U0001f3fb,emojis & people,---
🫳🏼,\U0001faf3\U0001f3fc,emojis & people,---
🫳🏽,\U0001faf3\U0001f3fd,emojis & people,---
🫳🏾,\U0001faf3\U0001f3fe,emojis & people,---
🫳🏿,\U0001faf3\U0001f3ff,emojis & people,---
🫴,\U0001faf4,emojis & people,---
🫴🏻,\U0001faf4\U0001f3fb,emojis & people,---
🫴🏼,\U0001faf4\U0001f3fc,emojis & people,---
🫴🏽,\U0001faf4\U0001f3fd,emojis & people,---
🫴🏾,\U0001faf4\U0001f3fe,emojis & people,---
🫴🏿,\U0001faf4\U0001f3ff,emojis & people,---
👈,\U0001f448,emojis & people,WHITE LEFT POINTING BACKHAND INDEX
👈🏻,\U0001f448\U0001f3fb,emojis & people,---
👈🏼,\U0001f448\U0001f3fc,emojis & people,---
👈🏽,\U0001f448\U0001f3fd,emojis & people,---
👈🏾,\U0001f448\U0001f3fe,emojis & people,---
👈🏿,\U0001f448\U0001f3ff,emojis & people,---
👉,\U0001f449,emojis & people,WHITE RIGHT POINTING BACKHAND INDEX
👉🏻,\U0001f449\U0001f3fb,emojis & people,---
👉🏼,\U0001f449\U0001f3fc,emojis & people,---
👉🏽,\U0001f449\U0001f3fd,emojis & people,---
👉🏾,\U0001f449\U0001f3fe,emojis & people,---
👉🏿,\U0001f449\U0001f3ff,emojis & people,---
👆,\U0001f446,emojis & people,WHITE UP POINTING BACKHAND INDEX
👆🏻,\U0001f446\U0001f3fb,emojis & people,---
👆🏼,\U0001f446\U0001f3fc,emojis & people,---
👆🏽,\U0001f446\U0001f3fd,emojis & people,---
👆🏾,\U0001f446\U0001f3fe,emojis & people,---
👆🏿,\U0001f446\U0001f3ff,emojis & people,---
👇,\U0001f447,emojis & people,WHITE DOWN POINTING BACKHAND INDEX
👇🏻,\U0001f447\U0001f3fb,emojis & people,---
